,1mb_0_dly_prec_month,1mb_1000_dly_prec_month,1mb_100_200dly_prec_month,1mb_1_25_dly_prec_month,1mb_200_300dly_prec_month,1mb_25_50dly_prec_month,1mb_300_400dly_prec_month,1mb_400_500dly_prec_month,1mb_500_600dly_prec_month,1mb_50_100dly_prec_month,1mb_600_700dly_prec_month,1mb_700_800dly_prec_month,1mb_800_900dly_prec_month,1mb_900_1000dly_prec_month,1mb_monthly_hum_MeIH,1mb_monthly_hum_MeIL,1mb_monthly_hum_MiIH,1mb_monthly_hum_MiIL,1mb_monthly_hum_mean,1mb_monthly_hum_range,1mb_monthly_hum_risk,1mb_monthly_hum_std,1mb_monthly_precmax,1mb_monthly_precmean,1mb_monthly_precmin,1mb_monthly_precstd,1mb_monthly_temp_br4mean,1mb_monthly_temp_ega4mean,1mb_monthly_temp_egfe4mean,1mb_monthly_temp_mean,1mb_monthly_temp_mor4max,1mb_monthly_temp_mor4min,1mb_monthly_temp_mosdev4mean,1mb_monthly_temp_oa4mean,1mb_monthly_temp_range,1mbmonthly_temp_vec4mean,2mb_0_dly_prec_month,2mb_1000_dly_prec_month,2mb_100_200dly_prec_month,2mb_1_25_dly_prec_month,2mb_200_300dly_prec_month,2mb_25_50dly_prec_month,2mb_300_400dly_prec_month,2mb_400_500dly_prec_month,2mb_500_600dly_prec_month,2mb_50_100dly_prec_month,2mb_600_700dly_prec_month,2mb_700_800dly_prec_month,2mb_800_900dly_prec_month,2mb_900_1000dly_prec_month,2mb_monthly_hum_MeIH,2mb_monthly_hum_MeIL,2mb_monthly_hum_MiIH,2mb_monthly_hum_MiIL,2mb_monthly_hum_mean,2mb_monthly_hum_range,2mb_monthly_hum_risk,2mb_monthly_hum_std,2mb_monthly_precmax,2mb_monthly_precmean,2mb_monthly_precmin,2mb_monthly_precstd,2mb_monthly_temp_br4mean,2mb_monthly_temp_ega4mean,2mb_monthly_temp_egfe4mean,2mb_monthly_temp_mean,2mb_monthly_temp_mor4max,2mb_monthly_temp_mor4min,2mb_monthly_temp_mosdev4mean,2mb_monthly_temp_oa4mean,2mb_monthly_temp_range,2mbmonthly_temp_vec4mean,3mb_0_dly_prec_month,3mb_1000_dly_prec_month,3mb_100_200dly_prec_month,3mb_1_25_dly_prec_month,3mb_200_300dly_prec_month,3mb_25_50dly_prec_month,3mb_300_400dly_prec_month,3mb_400_500dly_prec_month,3mb_500_600dly_prec_month,3mb_50_100dly_prec_month,3mb_600_700dly_prec_month,3mb_700_800dly_prec_month,3mb_800_900dly_prec_month,3mb_900_1000dly_prec_month,3mb_monthly_hum_MeIH,3mb_monthly_hum_MeIL,3mb_monthly_hum_MiIH,3mb_monthly_hum_MiIL,3mb_monthly_hum_mean,3mb_monthly_hum_range,3mb_monthly_hum_risk,3mb_monthly_hum_std,3mb_monthly_precmax,3mb_monthly_precmean,3mb_monthly_precmin,3mb_monthly_precstd,3mb_monthly_temp_br4mean,3mb_monthly_temp_ega4mean,3mb_monthly_temp_egfe4mean,3mb_monthly_temp_mean,3mb_monthly_temp_mor4max,3mb_monthly_temp_mor4min,3mb_monthly_temp_mosdev4mean,3mb_monthly_temp_oa4mean,3mb_monthly_temp_range,3mbmonthly_temp_vec4mean,DName2018,F15Regions,Female,Male,PopnRtn,TotalPopn,in_an_hh_district_mod_sev_prop,in_an_hh_district_sev_prop,in_an_ind_district_mod_sev_prop,in_an_ind_district_sev_prop,in_bs_hh_district_prop,in_bs_ind_district_prop,in_rt_hh_district_prop,in_rt_ind_district_prop,in_sym_hh_district_1om_prop,in_sym_hh_district_mt1_prop,in_sym_ind_dist_1om_prop,in_sym_ind_dist_mt1_prop,me_hh_sz_mean,me_hh_sz_mode,me_hh_wvis_pd_prop,me_ind_slund_pd_prop,me_ind_spr_12_prop,me_ind_tr_pd_prop,me_ind_vis_pd_prop,me_mean_prop_nt_tr_hh,me_mean_prop_slund_hh,me_mrk_dst_med_pd,me_ref_dis,me_spr_12_hh_prop,me_wi_1_hh_prop,me_wi_1_ind_prop,me_wi_2_hh_prop,me_wi_2_ind_prop,me_wi_3_hh_prop,me_wi_3_ind_prop,me_wi_4_hh_prop,me_wi_4_ind_prop,me_wi_5_hh_prop,me_wi_5_ind_prop,yb_0_dly_prec_year,yb_1000_dly_prec_year,yb_100_200dly_prec_year,yb_1_25_dly_prec_year,yb_200_300dly_prec_year,yb_25_50dly_prec_year,yb_300_400dly_prec_year,yb_400_500dly_prec_year,yb_500_600dly_prec_year,yb_50_100dly_prec_year,yb_600_700dly_prec_year,yb_700_800dly_prec_year,yb_800_900dly_prec_year,yb_900_1000dly_prec_year,yb_yearly_hum_max,yb_yearly_hum_mean,yb_yearly_hum_mean_hd,yb_yearly_hum_mean_ld,yb_yearly_hum_min,yb_yearly_hum_min_hd,yb_yearly_hum_min_ld,yb_yearly_hum_range,yb_yearly_precmax,yb_yearly_precmean,yb_yearly_precmin,yb_yearly_precstd,yb_yearly_temp_br4mean,yb_yearly_temp_ega4mean,yb_yearly_temp_egfe4mean,yb_yearly_temp_mean,yb_yearly_temp_mor4max,yb_yearly_temp_mor4min,yb_yearly_temp_mosdev4mean,yb_yearly_temp_oa4mean,yb_yearly_temp_range,ybyearly_temp_vec4mean,year,yo_0_dly_prec_year,yo_1000_dly_prec_year,yo_100_200dly_prec_year,yo_1_25_dly_prec_year,yo_200_300dly_prec_year,yo_25_50dly_prec_year,yo_300_400dly_prec_year,yo_400_500dly_prec_year,yo_500_600dly_prec_year,yo_50_100dly_prec_year,yo_600_700dly_prec_year,yo_700_800dly_prec_year,yo_800_900dly_prec_year,yo_900_1000dly_prec_year,yo_yearly_hum_max,yo_yearly_hum_mean,yo_yearly_hum_mean_hd,yo_yearly_hum_mean_ld,yo_yearly_hum_min,yo_yearly_hum_min_hd,yo_yearly_hum_min_ld,yo_yearly_hum_range,yo_yearly_precmax,yo_yearly_precmean,yo_yearly_precmin,yo_yearly_precstd,yo_yearly_temp_br4mean,yo_yearly_temp_ega4mean,yo_yearly_temp_egfe4mean,yo_yearly_temp_mean,yo_yearly_temp_mor4max,yo_yearly_temp_mor4min,yo_yearly_temp_mosdev4mean,yo_yearly_temp_oa4mean,yo_yearly_temp_range,yo_yearly_temp_vec4mean
0,5.3142858,0,0.114285715,10.857142,0.4,0.85714287,0.114285715,0,0,0.94285715,0,0,0,0,3,31,0,31,42.892258,82.84032,0.75,20.378916,248.08247,15.234062,0,57.45267,0.4523547,0.84833664,0.86877674,24.914518,1.2550453,0.7722482,0.73015994,0.7862944,16.32238,0.8774546,3.7142856,0,0,14,0,0.17142858,0,0,0,0.114285715,0,0,0,0,3,30,0,30,41.837116,85.3549,0.704545455,18.722483,32.588287,3.6117435,0,17.309326,0.48554242,0.8808573,0.91481566,25.49989,1.3187715,0.8548672,0.7687912,0.8398676,15.111493,0.8725792,1.2857143,0,0.9142857,11.771428,0.22857143,2.057143,0.057142857,0,0,2.2857144,0,0,0,0,11,30,1,31,50.18457,81.07167,0.75,20.836462,219.03844,25.93901,0.000535023,63.143356,0.40717143,0.8576651,0.82117754,24.117712,1.3158234,0.7659593,0.6775657,0.78314567,15.224216,0.92337346,ABIM,KARAMOJA,55510,52456,95,107966,0.272727273,0,0.239130435,0,0.121212121,0.086956522,0.272727273,0.217391304,0,0,0,0,4.910714286,5,0.017857143,0.490909091,0,0.483636364,0.003636364,1,1,,0,0,0.75,0.734545455,0.107142857,0.156363636,0.035714286,0.025454545,0.071428571,0.061818182,0.035714286,0.021818182,42.028572,0,16.742857,110.11429,3.4857142,21.457144,0.4,0.08571429,0.028571429,24.542856,0.057142857,0.028571429,0.028571429,0,98.19414,52.631474,81.2,119.55,9.341218,11.55,189.2,88.85292,440.65366,29.498741,0,59.43524,0.41314888,0.7500749,0.7558197,24.223011,1.2854016,0.75903183,0.6840401,0.63360554,20.879766,0.8537379,2018,31.542856,0,20.6,114.28571,6.114286,24.8,0.8,0.22857143,0,20.571428,0,0.028571429,0.028571429,0,99.319084,55.842407,91.675,109.075,10.757694,25.975,174.775,88.56139,400.26465,35.95401,0,74.85655,0.37289417,0.7392919,0.7390606,23.513172,1.3220371,0.73134094,0.637662,0.6196901,19.014595,0.8595524
1,3.047619,0,0.23809524,11.690476,0,1.3571428,0,0,0,1.5238096,0,0,0,0,13,24,1,30,53.88482,73.11299,0.75,19.096226,89.43127,14.726507,0,38.889618,0.5281482,0.7928394,0.85769486,26.251314,1.1438916,0.9182685,0.8164346,0.709076,15.213148,0.81125045,0.16666667,0,3.8095238,9.023809,0.7380952,2.3095238,0,0,0,2.4047618,0,0,0,0,25,15,10,30,64.57454,69.485146,1,17.564953,210.0715,55.92918,0.08342147,78.76134,0.45123872,0.8590199,0.861633,24.89482,1.3516687,0.88847876,0.7288609,0.79657334,12.629193,0.8910474,0,0,1.6666666,11.833333,0.7619048,1.5476191,0.11904762,0,0,1.9285715,0,0,0,0,27,11,11,29,66.273186,73.614456,1,18.158224,250.52992,40.70513,0.12521625,90.88097,0.45140448,0.85963494,0.8592385,24.897774,1.3234892,0.87429667,0.72905403,0.79619485,13.877286,0.89276993,ADJUMANI,WEST NILE,116953,108298,93,225251,0.450549451,0.010989011,0.352201258,0.006289308,0.164835165,0.119496855,0.373626374,0.264150943,0.147058824,0.029411765,0.484848485,0.333333333,6.253731343,6,0.052238806,0.687350835,0.040572792,0.673031026,0.019093079,1,1,,526,0,0.589552239,0.576372315,0.253731343,0.254176611,0.014925373,0.011933174,0.067164179,0.052505967,0.074626866,0.105011933,34.785713,0,22.452381,94.35714,4.9761906,30.833334,0.8333333,0.1904762,0.16666667,28.547619,0.11904762,0,0,0,98.858,57.21643,142.63889,110.833336,7.3089294,49.86111,203.61111,91.549065,410.6628,39.849766,0,75.583786,0.5157158,0.71812356,0.73139304,26.031973,1.1240581,0.8903852,0.76269007,0.5956576,20.76498,0.79593,2018,28.571428,0,19.190475,107.88095,6.8095236,25.166666,2.0714285,0.3809524,0.04761905,27.119047,0.023809524,0,0,0,98.59754,58.106724,140.86111,112.611115,8.037259,34.63889,218.83333,90.56028,423.4058,40.620663,0,79.075615,0.4875314,0.7708242,0.7825477,25.534918,1.2362148,0.88805056,0.7490175,0.6707453,20.519005,0.8332279
2,3.6190476,0,0.21428572,15.833333,0,0.52380955,0,0,0,0.52380955,0,0,0,0,3,30,0,30,44.046227,82.71946,0.75,19.142195,90.04469,6.7975073,0,25.055231,0.48295614,0.87300044,0.9021424,25.454227,1.2653849,0.8427588,0.76578075,0.8259659,15.484912,0.8728244,1.5238096,0,1.1190476,12.904762,0.1904762,2.5952382,0.52380955,0.16666667,0,2.3809524,0,0,0,0,12,26,1,31,53.355824,83.516045,0.75,21.287975,375.3414,35.600628,0.000193715,81.54894,0.4050436,0.84490675,0.8142487,24.080124,1.3208776,0.7692711,0.67508894,0.76547104,15.222489,0.9186975,0.04761905,0,0.30952382,17.452381,0.35714287,1.4761904,0,0,0,1.0714285,0,0,0,0,10,26,1,30,55.409985,76.32718,0.75,20.2926,190.85205,13.869031,0.009882039,50.004696,0.38099763,0.8304711,0.78437716,23.655989,1.2932851,0.7104021,0.64709896,0.74110395,15.226206,0.92355454,AGAGO,ACHOLI,117297,110495,94,227792,0.290909091,0.036363636,0.231707317,0.024390244,0.127272727,0.085365854,0.218181818,0.170731707,0.5,0.416666667,0.1875,0.0625,5.230769231,3,0.105769231,0.512867647,0.141544118,0.511029412,0.03125,0.666666667,0.666666667,,0,0,0.528846154,0.545955882,0.201923077,0.216911765,0.096153846,0.071691176,0.125,0.121323529,0.048076923,0.044117647,47.97619,0,21.714285,123.2619,3.6666667,27.119047,1.1904762,0.0952381,0,27,0,0,0,0,99.08715,53.732025,99.895836,120.625,8.003049,16.854166,203.66667,91.08412,365.84448,31.402813,0,56.77473,0.4322258,0.749869,0.75159127,24.55934,1.2584668,0.7817604,0.704171,0.6307578,20.931595,0.84930265,2018,35.357143,0.1904762,21.119047,134.85715,5.8095236,27.333334,2.6666667,0.8095238,0.14285715,23.595238,0.071428575,0.023809524,0.023809524,0.023809524,99.21715,56.20792,104.666664,115.854164,10.581758,22.270834,198.25,88.6354,750.7585,37.56086,0,103.55212,0.3917858,0.754387,0.75351036,23.846275,1.3034866,0.75509876,0.6596088,0.64025253,19.115032,0.8643708
3,1.4333333,0,0.33333334,9.266666,0.16666667,1.4666667,0.033333335,0,0,0.73333335,0,0,0,0,10,29,2,31,47.921104,84.32814,0.75,22.220242,181.19093,17.234589,0.000864267,59.867924,0.44717482,0.84052074,0.852398,24.823195,1.2479788,0.768673,0.7241305,0.77096206,16.706297,0.88009095,0.76666665,0,0.43333334,10.133333,0,1.4666667,0,0,0,0.2,0,0,0,0,12,27,0,30,50.08683,85.532936,0.75,20.286152,146.53214,13.409236,0,32.33159,0.4325375,0.8707892,0.8438075,24.56503,1.3004004,0.79059815,0.70709234,0.8046411,16.252838,0.91630834,0.13333334,0,2.2,7.3,0.6,1.2,0,0,0,2,0,0,0,0,22,21,1,31,58.76278,85.5067,0.865384615,21.695427,239.51378,52.50423,0.061389346,75.28402,0.3626423,0.7893273,0.752692,23.332325,1.3425746,0.73940426,0.62573284,0.6832485,15.617692,0.91050476,ALEBTONG,LANGO,116552,110989,95,227541,0.3125,0,0.222222222,0,0,0,0,0,0,0,0.047619048,0.047619048,4.2375,6,0.0125,0.460176991,0.820058997,0.457227139,0.002949853,0,0,,0,0.0125,0.575,0.601769912,0.1125,0.123893805,0.05,0.053097345,0.1875,0.14159292,0.075,0.079646018,24.9,0,14.133333,72.13333,2.7,22.066668,0.7,0,0,21.533333,0,0,0,0,99.785576,56.160114,102.958336,94.75,6.2222366,17.791666,179.91667,93.56334,359.8034,35.540386,0,60.402603,0.42036834,0.74611545,0.74440765,24.350267,1.2943236,0.7783642,0.69137603,0.6240955,20.907042,0.8553606,2018,13.7,0,16.233334,84.3,4.4,17.3,1.3333334,0.53333336,0,20.366667,0,0,0,0,99.94847,58.924812,112.208336,85.5,8.208024,23.875,173.83333,91.74044,441.83533,42.270412,0,70.91737,0.37554342,0.7398526,0.7302054,23.559824,1.3304461,0.7465337,0.6406777,0.61632544,19.895403,0.8669391
4,0.16666667,0,1.1111112,15.444445,0,3.6111112,0,0,0,2.0555556,0,0,0,0,29,15,10,31,65.28161,66.74873,1,16.26363,118.06813,22.226706,0.004321337,40.00361,0.42808998,0.9022771,0.86323965,24.48661,1.2633344,0.9398744,0.7019153,0.85442084,8.987951,0.9237796,0,0,1.6666666,13.611111,1.0555556,3,0.5555556,0,0,1.7777778,0,0,0,0,29,10,14,29,66.232414,66.69906,1,15.009281,317.1143,47.48251,0.36888057,102.03002,0.4333173,0.91527456,0.86787504,24.578772,1.1966782,0.93622565,0.70800006,0.8694537,9.341549,0.92958087,0,0,3.7777777,9.444445,1.1111112,4,0.11111111,0,0,3.9444444,0,0,0,0,31,4,20,30,69.37029,63.64067,1,14.9749,222.97914,61.257133,1.2252251,90.77124,0.39703587,0.875692,0.8140337,23.93889,1.393791,0.9235228,0.6657677,0.8028707,8.91843,0.9482347,AMOLATAR,LANGO,74152,73014,99,147166,0.486486486,0.054054054,0.357142857,0.035714286,0.054054054,0.035714286,0.027027027,0.017857143,0,0,0,0,5.634615385,6,0.019230769,0.726962457,0.825938567,0.726962457,0.006825939,0.25,0.25,,0,0.019230769,0.596153846,0.539249147,0.25,0.290102389,0.134615385,0.156996587,0.019230769,0.013651877,0,0,22.555555,0,23.666666,132.44444,5.111111,40.38889,1.2222222,0.11111111,0,38.055557,0.055555556,0,0,0,94.1985,65.441925,176.54167,51.583332,19.78748,65.125,163,74.411026,351.9954,38.35061,0,68.43635,0.43142813,0.84557956,0.8301904,24.545177,1.2455673,0.9248527,0.7058011,0.77021426,13.256583,0.9037324,2018,15,0,29.666666,129.66667,10.888889,39.27778,2.8333333,0.3888889,0.3888889,35.27778,0.22222222,0,0,0,95.833984,66.82701,189.66667,38.458332,20.878511,67.666664,160.45833,74.95547,549.0724,50.067295,0,85.35586,0.4037277,0.82926667,0.797008,24.057041,1.3885162,0.9156684,0.67355716,0.74235594,13.224005,0.91140926
5,0.30555555,0,0.33333334,9.166667,0.41666666,0.41666666,0.083333336,0,0,0.4722222,0,0,0,0,6,30,0,31,45.37227,80.60719,0.75,20.63331,227.24623,22.933601,0.005187897,80.812164,0.35986587,0.80173993,0.751841,23.283358,1.2699395,0.67338496,0.6225011,0.6981089,15.194051,0.9163103,1.2777778,0,0,8.555555,0,0.75,0,0,0,0.25,0,0,0,0,0,30,0,30,42.694656,76.68435,0.75,20.064238,49.597847,7.5111084,0,17.386707,0.40643692,0.8868949,0.82899374,24.104706,1.2864574,0.72572446,0.6767108,0.8224724,14.296405,0.94086736,0.055555556,0,0.5,7.888889,0.25,1.5555556,0,0,0,0.9444444,0,0,0,0,4,31,0,31,45.952297,84.16846,0.75,20.648169,209.38165,25.986042,0.10984448,74.01958,0.37356603,0.8208804,0.77376103,23.524963,1.2863814,0.70157117,0.6384483,0.72714955,14.956508,0.9219087,AMUDAT,KARAMOJA,51523,54246,105,105769,0.553191489,0.063829787,0.405405405,0.040540541,0.14893617,0.094594595,0.234042553,0.162162162,0,0,0,0,4.821428571,5,0.035714286,0.218518519,0.062962963,0.218518519,0.007407407,0,0,,0,0,0.982142857,0.977777778,0.017857143,0.022222222,0,0,0,0,0,0,20.75,0,15.333333,66.333336,5.388889,8.833333,1.3888888,0.3888889,0.16666667,13.194445,0.027777778,0,0,0,95.62491,49.407486,46.88889,115.333336,11.063247,3.1111112,159.11111,84.56165,417.31577,44.54065,0,108.63501,0.35078683,0.7165521,0.7107269,23.123466,1.2627121,0.6645299,0.61192757,0.5861849,20.136103,0.855661,2018,11.555555,0,17.722221,68.083336,6.5555553,12.666667,1.5277778,0.2777778,0.1388889,13.194445,0.027777778,0.027777778,0.027777778,0,98.25485,52.40846,59.88889,102.333336,8.7634,8.259259,153.96297,89.491455,511.19705,50.82626,0,100.62835,0.31924835,0.6936477,0.677556,22.567062,1.301078,0.65907454,0.57522136,0.5524002,18.66052,0.85541195
6,0.4,0,0.16,8.2,0,1.84,0,0,0,0.2,0,0,0,0,11,26,0,30,51.55835,84.89057,0.75,20.090158,91.15477,12.693196,0,29.731222,0.42182592,0.8641762,0.835496,24.376137,1.3013021,0.775624,0.69462395,0.79310924,16.272812,0.9235658,0.24,0,1.84,5.76,0.48,1.6,0.24,0.04,0,0.96,0,0,0,0,19,20,1,31,58.9032,85.07073,0.854166667,21.555481,328.60825,58.477573,0.021856692,91.98036,0.3626916,0.79787356,0.756109,23.333162,1.328534,0.7314057,0.6257903,0.6952176,15.975673,0.91428477,0.08,0,0.24,7.92,0,1.04,0,0,0,1.52,0,0,0,0,18,20,1,30,58.863354,75.49736,0.833333333,19.953695,109.04016,19.600029,0.008742015,38.53305,0.3422202,0.77250093,0.7228727,22.972107,1.297965,0.67507833,0.60196114,0.6543159,15.026576,0.9157799,AMURIA,TESO,138407,132521,96,270928,0.5,0.0625,0.28358209,0.029850746,0.3125,0.208955224,0.40625,0.313432836,0.153846154,0.076923077,0.5,0.5,6.152173913,6,0.108695652,0.466431095,0,0.441696113,0.017667845,1,1,,0,0,0.739130435,0.667844523,0.043478261,0.053003534,0.02173913,0.014134276,0.065217391,0.127208481,0.130434783,0.137809187,20.72,0,11.84,61.08,1.56,17.52,0.68,0.08,0,17.92,0,0,0,0,99.25286,54.580917,86.2,89,6.476197,9.44,165.76,92.77665,370.1502,34.413013,0,56.583782,0.41858163,0.74335337,0.743385,24.318876,1.2820345,0.76758355,0.6900582,0.62067074,21.83184,0.854078,2018,10.96,0,12.52,67.2,4.32,17.48,1.48,0.12,0,17.32,0,0,0,0,99.97924,59.20548,101.24,73.96,6.9431815,20,155.2,93.03605,387.56018,43.581326,0,69.61009,0.3673018,0.7297862,0.72032213,23.414467,1.3251431,0.734994,0.6310571,0.6018295,20.20243,0.86397034
7,1.425,0,0.25,7.9125,0,0.7625,0,0,0,0.5,0,0,0,0,10,29,2,31,49.582607,78.52019,0.75,18.413216,98.837776,11.220199,0.001805701,37.08108,0.530022,0.76993585,0.82999676,26.284351,1.2206299,0.90025216,0.8165675,0.6719666,15.422988,0.8033028,1.5375,0,0.35,6.55,0,1.075,0,0,0,0.9875,0,0,0,0,16,24,3,30,55.35903,74.06557,0.767241379,17.930208,102.157875,18.134653,0,44.352634,0.4981598,0.8352306,0.87134945,25.722433,1.2289703,0.89345735,0.78262275,0.7681531,14.9345455,0.8491207,0.1875,0,1.7375,5.1,1.075,1.3875,0,0,0,1.3625,0,0,0,0,25,13,10,30,65.49018,66.77512,1,17.25331,255.80472,62.960934,0.094131164,85.064354,0.42293477,0.8607434,0.8403707,24.395672,1.4098787,0.84816414,0.69591457,0.79321927,13.014121,0.9107183,AMURU,ACHOLI,95412,91284,96,186696,0.366197183,0,0.299145299,0,0.197183099,0.129310345,0.577464789,0.512820513,0.317073171,0.268292683,0.142857143,0.071428571,6.247706422,7,0.183486239,0.474302496,0.187958884,0.466960352,0.064610866,0.142857143,0.142857143,,0,0,0.697247706,0.6989721,0.155963303,0.160058737,0.073394495,0.089574156,0.036697248,0.016152717,0.036697248,0.035242291,20.6875,0.0625,13.8375,53.65,4.375,16.675,0.8875,0.1375,0.1,17.15,0.0625,0.0625,0.05,0.0125,98.76899,57.65668,74.75,57.5625,7.981796,25.4,106.9125,90.78719,688.17096,45.64776,0,102.86923,0.48984325,0.7261875,0.73437726,25.5757,1.1625855,0.8681141,0.7433515,0.60336125,20.653957,0.8123971,2018,16.875,0,12.8625,61.7375,5.65,14.3375,1.3375,0.1875,0.025,14.7125,0.0125,0.0125,0,0,99.206696,58.582027,76.025,56.2875,9.315444,17.5375,114.775,89.89126,433.7392,44.856785,0,84.5279,0.46007353,0.7762802,0.7769897,25.05061,1.2854078,0.85999507,0.72291934,0.67458797,20.51784,0.85050684
8,0.19444445,0,0,9.583333,0,1.5833334,0,0,0,0.6944444,0,0,0,0,24,21,2,31,59.05785,72.93289,0.816666667,20.361753,77.33507,12.298228,0.003210136,20.84933,0.42845175,0.88670915,0.8622414,24.49302,1.4152762,0.8476029,0.7023365,0.8408884,13.43517,0.91493285,0.19444445,0,0.7222222,8.305555,0,1.4444444,0,0,0,1,0,0,0,0,25,13,3,30,62.875137,73.37474,0.983333333,18.211197,126.8088,23.439577,0.0341194,42.602776,0.4013399,0.88054556,0.817527,24.014812,1.4274861,0.82567555,0.67077774,0.809005,13.429618,0.95071685,0,0,2.4166667,6.0277777,0.1388889,1.7777778,0,0,0,1.6944444,0,0,0,0,29,7,7,31,66.59743,70.3087,1,17.685755,179.71434,48.305214,0.65053463,70.99167,0.36868066,0.81961834,0.7668634,23.43884,1.46883,0.8066799,0.63276166,0.7232962,12.549437,0.9333474,APAC,LANGO,187631,180995,97,368626,0.266666667,0,0.181818182,0,0.133333333,0.090909091,0.133333333,0.090909091,0,0,,,5.038461538,5,0,0.625954198,0.152671756,0.603053435,0,0.8,0.8,,0,0,0.538461538,0.557251908,0.307692308,0.27480916,0.153846154,0.167938931,0,0,0,0,15.555555,0,11.277778,72.77778,1.8888888,21.555555,0.33333334,0,0,18.555555,0,0,0,0,99.62246,61.41012,116.066666,66.433334,9.42774,27.166666,155.33333,90.19473,332.07138,33.684757,0,55.563496,0.41593936,0.79015005,0.77956754,24.272224,1.3854699,0.83344376,0.6875904,0.68816227,18.020464,0.8823233,2018,10.305555,0,14.555555,76.22222,3.0555556,18.972221,1.0277778,0.11111111,0.083333336,17.61111,0,0,0,0,100,63.55272,131.5,51,12.918731,29.866667,152.63333,87.08127,407.1953,39.743435,0,68.032776,0.38357872,0.7769826,0.75275695,23.701494,1.4127944,0.80832326,0.6499423,0.6676039,18.450409,0.8909437
9,1.421875,0,0.015625,13.421875,0,1.515625,0,0,0,0.5,0,0,0,0,17,28,2,30,52.944153,68.71762,0.75,17.24376,55.290466,9.918308,0.000312097,29.712503,0.51128125,0.76791334,0.8172042,25.953848,1.1803216,0.8707733,0.7973609,0.6665635,14.593205,0.8133699,0.046875,0,1.25,10.59375,0.078125,2.890625,0,0,0,2.578125,0,0,0,0,28,18,11,31,62.66206,62.67436,0.973684211,16.61531,136.99852,31.726728,0.22190562,61.12178,0.4373747,0.81666046,0.82753956,24.650354,1.3394872,0.8287981,0.7127231,0.73432654,13.811109,0.87448514,0,0,0.859375,12.1875,0.234375,1.578125,0.171875,0.03125,0,1.8125,0,0,0,0,29,11,12,29,65.41775,67.495834,1,16.969763,260.81348,29.997498,0.33431584,87.29592,0.42607364,0.8147408,0.8156982,24.450994,1.3020521,0.7863626,0.6995683,0.73039675,14.872851,0.878788,ARUA,WEST NILE,407322,374755,92,782077,0.370967742,0.008064516,0.302857143,0.005714286,0.306451613,0.264367816,0.588709677,0.537142857,0.014285714,0,0,0,5.395454545,6,0.140909091,0.567818029,0,0.564448189,0.044650379,0,0.25,,307,0,0.495454545,0.455770851,0.25,0.261162595,0.113636364,0.106149958,0.090909091,0.124684078,0.05,0.052232519,27.296875,0,13.84375,121.046875,2.0625,21.421875,0.21875,0.03125,0,19.390625,0,0,0,0,97.9165,56.48557,111.796875,104.921875,10.9611635,27.296875,189.42188,86.95533,263.5292,26.239082,0,64.79738,0.48923236,0.734575,0.7561644,25.564804,1.1749033,0.8346569,0.7511131,0.6175628,20.580082,0.80919415,2018,24.875,0,11.46875,126.46875,2.953125,21.5625,0.4375,0.09375,0,17.453125,0,0,0,0,96.97275,56.927433,108,108.71875,11.843305,22.859375,193.85938,85.12944,313.24567,25.684635,0,66.81277,0.46925634,0.76493883,0.78252715,25.212599,1.2356893,0.8364106,0.7356842,0.6617787,20.680557,0.8339557
